flavor,weight_g,chip_count
Hot and Sweet Chilli,27.37508359459007,16.0
Tangy Tomato,45.930711625753105,27.0
Sour Cream and Onion,27.74653531181182,17.0
Classic,10.925977839337339,6.0
Masala,10.491978248566987,6.0
Masala,13.821863311108679,8.0
Masala,10.104724805154564,6.0
Barbecue,59.357200696900605,35.0
Classic,13.846115739190669,8.0
Sour Cream and Onion,23.81939639652896,13.0
Masala,10.606932090797033,6.0
Tangy Tomato,55.49267561275576,35.0
Sour Cream and Onion,25.303021332491582,14.0
Masala,14.84244388797192,9.0
Masala,11.464110183504824,7.0
Masala,13.009407948181611,8.0
Hot and Sweet Chilli,27.480731794295323,18.0
Classic,13.282393036657513,7.0
Hot and Sweet Chilli,23.382675059944983,15.0
Masala,11.12307805921926,6.0
Classic,12.16038441472098,7.0
Masala,13.064697912472628,8.0
Masala,11.203463559162525,6.0
Hot and Sweet Chilli,21.974704898599374,14.0
Hot and Sweet Chilli,26.458108126552062,15.0
Sour Cream and Onion,28.159469389686173,18.0
Masala,14.23257169345139,9.0
Classic,11.261205100866809,7.0
Classic,12.3026974863707,8.0
Masala,13.642453385808066,8.0
Classic,13.280809188405357,7.0
Masala,12.725134594484691,8.0
Masala,14.686940332485594,8.0
Barbecue,43.296296314588744,24.0
Tangy Tomato,54.51959819970591,36.0
Sour Cream and Onion,22.13511366310672,13.0
Hot and Sweet Chilli,28.407030280112,18.0
Masala,12.711186027459242,8.0
Classic,12.541802734581399,7.0
Hot and Sweet Chilli,25.65021992859016,16.0
Masala,14.366614579304038,9.0
Hot and Sweet Chilli,27.61121537043158,16.0
Masala,12.30778737209895,6.0
Barbecue,44.93357729043246,29.0
Masala,14.959049756746818,8.0
Classic,12.007471579306442,7.0
Hot and Sweet Chilli,22.040356346288988,13.0
Classic,13.665356480148374,8.0
Classic,10.94012367307708,6.0
Masala,13.918958922426986,8.0
Tangy Tomato,40.104592270858255,26.0
Sour Cream and Onion,20.35311354940239,13.0
Barbecue,44.04961120330475,29.0
Barbecue,47.35881502604169,28.0
Classic,10.744440251662223,6.0
Barbecue,57.53301523656401,39.0
Masala,11.841547652534242,7.0
Masala,13.610354691013686,9.0
Masala,12.965221670933921,7.0
Hot and Sweet Chilli,24.12621840848624,15.0
Hot and Sweet Chilli,20.032182636042787,12.0
Masala,11.777465052206788,7.0
Sour Cream and Onion,20.92990639823132,13.0
Hot and Sweet Chilli,24.809728898861238,15.0
Masala,10.324267972414841,6.0
Classic,12.807422939797618,8.0
Masala,13.017438332982273,8.0
Sour Cream and Onion,28.0498899968077,16.0
Masala,14.12524705090031,8.0
Tangy Tomato,41.541165582686624,23.0
Sour Cream and Onion,23.342383186960607,15.0
Masala,13.538404673704578,8.0
Masala,12.586345282208047,7.0
Sour Cream and Onion,21.47452526706284,12.0
Sour Cream and Onion,24.340193661738752,13.0
Sour Cream and Onion,22.20611952711211,14.0
