flavor,weight_g,chip_count,crinkle_factor
Hot and Sweet Chilli,27.37508359459007,13,8
Tangy Tomato,49.23893873341912,28,3
Sour Cream and Onion,23.497032297458496,13,8
Classic,13.306853055352072,8,5
Masala,11.774206801284452,7,1
Masala,10.491978248566987,6,7
Masala,14.152672282024199,9,5
Barbecue,45.30092856650008,29,6
Classic,10.413088317296344,9,6
Sour Cream and Onion,29.678600348450303,11,8
Masala,14.879954247993961,8,9
Tangy Tomato,44.113745243911104,25,2
Sour Cream and Onion,22.554134846852193,14,9
Masala,13.87316890318894,6,10
Masala,14.799132590379646,8,9
Masala,10.20975611715818,6,10
Hot and Sweet Chilli,23.222155034446285,14,10
Classic,11.464110183504824,8,7
Hot and Sweet Chilli,21.139566347143173,16,1
Masala,12.912113291036231,7,7
Classic,12.603840709171063,9,10
Masala,13.282393036657513,7,5
Masala,10.218678129399848,6,6
Hot and Sweet Chilli,29.280836403260498,11,10
Hot and Sweet Chilli,23.721670238375133,13,7
Sour Cream and Onion,25.50091940458156,13,5
Masala,13.064697912472628,7,7
Classic,11.368956537570533,9,9
Classic,10.607506881504591,9,3
Masala,12.480239193399433,6,8
Classic,13.229054063276031,8,2
Masala,13.357274674473217,7,7
Masala,14.30684998181718,6,2
Barbecue,45.16863240583636,38,4
Tangy Tomato,45.044820403467234,36,7
Sour Cream and Onion,22.210633714537284,16,3
Hot and Sweet Chilli,28.419985528900614,17,2
Masala,13.882237232498623,9,10
Classic,10.26929103499013,9,7
Hot and Sweet Chilli,25.450269188969383,13,1
Masala,11.346656491510124,9,8
Hot and Sweet Chilli,20.431737357970118,13,3
Masala,10.53971857323232,6,2
Barbecue,54.51959819970591,35,3
Masala,14.825648710634983,9,5
Classic,12.529263464759145,9,8
Hot and Sweet Chilli,23.423836360335464,17,10
Classic,12.711186027459242,6,7
Classic,13.717118930383046,8,7
Masala,11.487742256594103,8,7
Tangy Tomato,43.03138743175347,37,8
Sour Cream and Onion,28.733229158608076,12,1
Barbecue,55.22243074086316,38,4
Barbecue,43.21696347915493,34,6
Classic,10.046658099135467,6,9
Barbecue,54.8342412302586,26,2
Masala,14.959049756746818,9,1
Masala,10.969769336338874,7,10
Masala,14.000354843495797,8,2
Hot and Sweet Chilli,23.10928930007554,16,7
Hot and Sweet Chilli,27.330712960296747,13,3
Masala,10.94012367307708,6,10
Sour Cream and Onion,23.752599044426663,12,2
Hot and Sweet Chilli,25.542265141320165,16,7
Masala,14.24023895565386,6,2
Classic,10.176556774701195,6,3
Masala,10.055158071312329,6,7
Sour Cream and Onion,29.580734801193802,12,4
Masala,13.39189411427571,9,1
Tangy Tomato,42.97776100664889,31,5
Sour Cream and Onion,24.703190541017857,13,9
Masala,14.981671688136236,8,8
Masala,11.926879415236808,9,9
Sour Cream and Onion,27.220709382027373,17,10
Sour Cream and Onion,25.930443341867843,16,9
Sour Cream and Onion,26.63042004500492,16,7
Sour Cream and Onion,26.95618146496807,16,4
Masala,10.145356901719769,6,5
Hot and Sweet Chilli,23.554930104413575,11,1
Masala,11.938367973751971,6,1
Barbecue,51.76404533896781,28,3
Classic,12.550548562494125,8,8
Hot and Sweet Chilli,20.648535944829682,13,2
Masala,12.807422939797618,9,4
Hot and Sweet Chilli,20.52803960468528,13,2
Hot and Sweet Chilli,25.99368965662934,14,5
Sour Cream and Onion,22.698207201282145,13,9
Classic,11.610540021145928,7,1
Barbecue,41.541165582686624,30,5
Hot and Sweet Chilli,26.95415648328053,14,9
Masala,13.924484885557337,7,1
Sour Cream and Onion,22.098419948564093,14,9
Sour Cream and Onion,25.172690564416094,16,8
Classic,10.73726263353142,8,4
Sour Cream and Onion,27.355056064875377,11,10
Hot and Sweet Chilli,20.886004296796173,14,5
Classic,10.312711134486841,8,5
Hot and Sweet Chilli,27.356631142391898,13,6
Masala,13.668079150211563,7,7
Masala,13.212825997675957,6,8
Masala,13.187766322351148,8,8
Classic,13.92825809040116,8,2
Hot and Sweet Chilli,26.859112710498636,17,9
Classic,13.736097938710188,7,7
Barbecue,51.43744542454373,29,4
Masala,10.922381265668196,6,4
Hot and Sweet Chilli,29.796467150338835,14,8
Sour Cream and Onion,20.26196708532065,12,4
Masala,12.92905072985951,6,6
Masala,11.365354049864063,6,5
Masala,14.648084614378421,7,3
Masala,14.703396225576704,6,10
Barbecue,57.05456039751422,33,2
Sour Cream and Onion,28.72730250484602,15,9
Classic,12.308664068061912,8,10
Barbecue,56.052866195914206,33,9
Sour Cream and Onion,29.373532942158644,14,1
Masala,10.66739986207972,8,10
Barbecue,40.99684055565883,30,3
Classic,12.482305761776498,6,8
Sour Cream and Onion,27.802130634301022,14,6
Barbecue,55.3102579798222,30,5
Hot and Sweet Chilli,22.2522370226849,15,5
Masala,10.676770411388429,7,6
Masala,14.613115290438948,6,7
Hot and Sweet Chilli,29.56614621083458,16,1
Sour Cream and Onion,22.82745689578762,12,9
Barbecue,45.643741493864,35,3
Masala,11.378599265477762,7,4
Classic,14.531272902605183,8,10
Hot and Sweet Chilli,29.74834652781112,16,1
Masala,12.144434394305193,6,10
Masala,13.883552784775906,9,3
Hot and Sweet Chilli,21.56381804403448,14,2
Barbecue,40.672272003665654,27,2
Hot and Sweet Chilli,26.196994401994157,13,1
Classic,10.696226855587977,8,8
Sour Cream and Onion,23.15189521097359,13,3
Hot and Sweet Chilli,23.473433262588426,13,3
Tangy Tomato,54.64897463676179,34,6
Tangy Tomato,59.26788868427101,38,8
Masala,14.4106780714103,6,9
Hot and Sweet Chilli,20.522578792860237,15,9
Hot and Sweet Chilli,27.877130155277086,18,4
Masala,13.654104824903648,7,5
Masala,14.897754201908786,6,2
Classic,13.270873007370373,6,9
Classic,10.955953507323946,6,8
Masala,12.319662433441682,6,3
Masala,14.735179938693616,8,9
Barbecue,46.99012744173638,33,3
Masala,10.110175801487522,6,9
Masala,11.126584649756175,6,2
Hot and Sweet Chilli,20.888402450875645,16,10
Tangy Tomato,51.2244557656505,25,9
Masala,14.902584110005531,6,8
Classic,14.300698466747175,7,9
Sour Cream and Onion,25.42545803395423,17,5
Masala,12.744193283600293,7,2
Sour Cream and Onion,20.817253457467782,17,8
Hot and Sweet Chilli,28.4691872808856,13,6
Classic,10.82887270081638,6,8
Classic,13.320939572527086,6,5
Classic,13.345111686645541,7,10
Masala,14.309934542021361,7,2
Sour Cream and Onion,26.50973467150954,16,6
Hot and Sweet Chilli,22.905875598063552,16,5
Masala,14.032018086164197,7,5
Masala,14.890309089867642,8,1
Classic,13.931390996920165,8,2
Classic,11.698887357809426,6,8
Masala,10.82353176716148,7,3
Classic,13.792125089345555,8,10
Masala,12.596929297519686,8,3
Classic,10.631268913963067,8,8
Masala,14.397909274757646,8,8
Classic,11.277466723278023,6,2
Hot and Sweet Chilli,24.51239344180988,12,8
Barbecue,55.01459013998694,25,1
Masala,10.135837106127799,6,6
Hot and Sweet Chilli,20.94151910125698,15,8
Masala,14.5461010293078,6,3
Barbecue,47.81456731227227,27,8
Barbecue,42.10947399913261,27,1
Masala,12.258484096158414,8,9
Classic,11.902100037537812,7,9
Sour Cream and Onion,24.410721582507836,14,5
Classic,11.018832295638445,6,10
Classic,10.470180522171331,8,4
Masala,13.964272095169196,8,6
Masala,11.38220845291698,8,7
Barbecue,55.95828319231788,38,5
Barbecue,43.916816251738375,37,10
Classic,12.6651443362307,7,9
Hot and Sweet Chilli,24.47602940320217,16,3
Hot and Sweet Chilli,27.932613504382545,14,7
Sour Cream and Onion,23.631007366340103,14,10
Barbecue,45.53808974755618,31,10
Barbecue,50.14102207730882,35,5
Sour Cream and Onion,22.0201566840249,15,7
Classic,13.663176173504164,9,2
Masala,10.760521416111365,9,4
Masala,13.992966361913757,6,2
Barbecue,41.66928169978767,33,7
Classic,14.018017677207677,6,2
Masala,11.598334162202724,6,1
Masala,12.088804896375498,8,9
Classic,10.612169491794706,6,1
Masala,13.173356366269708,8,8
Masala,14.98539078540831,6,2
Classic,12.137448439603077,8,8
Classic,10.649132244758588,6,3
Classic,12.798778418191912,6,6
Masala,10.146820795511962,9,3
Sour Cream and Onion,28.90258053017802,15,7
Masala,11.895135631095487,7,10
Hot and Sweet Chilli,21.87411944097582,15,9
Sour Cream and Onion,22.96489781283315,16,2
Classic,12.703968774927722,7,5
Sour Cream and Onion,27.59582410114632,11,6
Classic,12.355839494664073,8,4
Classic,13.25833959353213,6,4
Masala,11.788991326627208,6,4
Hot and Sweet Chilli,28.192551048714613,13,2
Masala,11.676040236854364,6,4
Masala,11.22169970393233,9,1
Tangy Tomato,56.51956425416164,36,6
Hot and Sweet Chilli,27.190774473538557,13,1
Barbecue,42.839439795219874,32,10
Classic,13.698356503633818,7,6
Sour Cream and Onion,27.488263369633064,11,1
Classic,12.177527271990797,9,6
Classic,11.761874733048272,6,10
Hot and Sweet Chilli,28.061958810037908,15,8
Masala,14.895524690075773,8,2
Sour Cream and Onion,20.311155999173575,16,2
Masala,13.380887810377171,7,4
Masala,11.574597943064838,10,3
Classic,10.348205740812029,6,4
Masala,10.835660057356106,9,7
Barbecue,44.5435911404703,31,1
Tangy Tomato,41.453417432200325,39,6
Barbecue,46.807601853333495,33,3
Hot and Sweet Chilli,25.12654753145053,16,10
Masala,11.801889099651738,6,7
Barbecue,40.66378709124852,29,10
Hot and Sweet Chilli,24.08306342759451,14,2
Tangy Tomato,58.766096368969656,36,2
Tangy Tomato,44.65526294202577,32,4
Barbecue,55.76894686506597,36,1
Masala,14.494236940901237,7,3
Hot and Sweet Chilli,29.071950307058298,14,9
Barbecue,40.00376799113164,34,7
Hot and Sweet Chilli,21.109894692134812,17,7
Masala,12.30179135600963,8,4
Classic,11.908059699336,7,2
Barbecue,47.60801097940819,38,4
Classic,14.01177164579632,8,6
Classic,12.112742141559723,6,3
Masala,12.107220207896237,7,1
Classic,14.590382760995753,8,8
Tangy Tomato,42.54907918845738,33,5
Masala,11.46109115230949,7,5
Classic,14.13019525833286,8,4
Barbecue,56.09813553682877,27,6
Sour Cream and Onion,29.817986932606274,16,3
Classic,13.633354960351616,8,9
Sour Cream and Onion,26.28238110463281,12,5
Hot and Sweet Chilli,22.8152119841493,14,3
Masala,10.562901952059685,7,1
Sour Cream and Onion,21.202472265116757,15,10
Sour Cream and Onion,20.965344701954407,17,6
Barbecue,40.922471286714675,25,2
Barbecue,49.37535930929012,32,3
Classic,14.122674040435161,6,1
Classic,11.486189038543086,8,9
Sour Cream and Onion,27.30246147090146,12,8
Classic,10.240714179891768,9,2
Sour Cream and Onion,28.772394571622005,12,8
Sour Cream and Onion,26.678046832264066,16,9
Barbecue,46.80811686699129,31,1
Hot and Sweet Chilli,21.853301795287145,15,5
Hot and Sweet Chilli,28.381521835519244,17,8
Masala,12.145912966981784,7,2
Classic,14.97718758095655,7,4
Masala,12.86674672817609,6,7
Hot and Sweet Chilli,20.636409092866423,15,3
Classic,11.101126506886576,8,5
Masala,10.574664985297835,6,8
Classic,12.626198787600801,6,10
Masala,13.346001314690392,6,3
Masala,10.323434467575657,8,4
Sour Cream and Onion,25.717723520483222,16,9
Hot and Sweet Chilli,26.944504561307088,15,7
Masala,14.553382897175698,7,1
Classic,13.869398278650781,6,4
Sour Cream and Onion,23.408156997898466,14,4
Masala,12.216900071895939,9,9
Classic,14.740541600857211,7,6
Masala,12.958485811531627,6,9
Masala,13.198027805888408,8,6
Classic,12.561818887728954,8,6
Classic,11.170922234077429,8,5
Classic,12.438335343106322,6,5
Sour Cream and Onion,22.626756425986517,12,2
Tangy Tomato,49.457942656218094,32,8
Classic,12.531330297476014,8,8
Hot and Sweet Chilli,24.069719096342638,16,1
Sour Cream and Onion,22.54391580841847,12,8
Masala,10.198829824942848,6,5
Hot and Sweet Chilli,20.456487455023836,13,2
Masala,11.38407153895653,6,2
Masala,12.25232650828909,6,6
Tangy Tomato,49.64082116224165,31,9
Sour Cream and Onion,24.697437629906837,15,1
Classic,12.371442102156303,6,6
Hot and Sweet Chilli,25.16572628445979,17,9
Masala,14.270679988252521,6,8
Masala,11.09534404550929,8,6
Masala,14.21962306305862,6,3
Classic,11.694303246693758,6,8
Sour Cream and Onion,24.385384885374357,17,9
Classic,11.983984235431581,7,1
Masala,14.658768597164082,6,9
Tangy Tomato,56.333643509014365,25,6
Sour Cream and Onion,26.170665161178015,16,6
Classic,11.726115714008461,7,4
Classic,12.873897771322076,7,1
Hot and Sweet Chilli,24.935465803401186,13,10
Masala,10.224267840117843,8,8
Hot and Sweet Chilli,21.314891198979815,16,2
Sour Cream and Onion,21.6520393933785,16,1
Masala,13.649301544242391,9,2
Masala,14.538055012782774,6,1
Masala,11.290866270955846,6,1
Masala,11.54686358931391,6,9
Barbecue,54.3685845963747,35,1
Sour Cream and Onion,28.211982825502265,12,4
Hot and Sweet Chilli,26.364013701834068,17,10
Masala,11.28803610166861,7,6
Hot and Sweet Chilli,20.405587375446814,15,7
Hot and Sweet Chilli,26.865899134926067,12,2
Masala,13.326460509890277,6,6
Hot and Sweet Chilli,24.56236508955542,12,7
Hot and Sweet Chilli,20.922847920732572,14,10
Classic,12.747918283610717,6,10
Classic,10.355038322666278,7,2
Masala,11.60540548543525,6,2
Hot and Sweet Chilli,29.41725711618925,16,10
Classic,13.393349783362824,6,7
Classic,14.440195321800589,6,1
Barbecue,40.202623680554865,25,8
Classic,10.694356631982584,6,3
Masala,13.062867341724097,9,6
Masala,10.859242406635472,6,9
Classic,10.602792082018452,6,6
Masala,12.649957614632093,7,9
Classic,12.669837362738818,9,7
Barbecue,56.400252582387125,32,9
Classic,12.110171300638195,6,2
Hot and Sweet Chilli,24.488530716747082,15,8
Classic,11.996843741973455,6,8
Hot and Sweet Chilli,21.230032951237455,12,2
Classic,11.080256825058436,6,4
Barbecue,54.58346975098896,32,7
Hot and Sweet Chilli,20.673845547855226,16,4
Tangy Tomato,53.849856533384504,25,4
Barbecue,48.077957283402476,36,6
Masala,11.376905871277092,6,10
Masala,14.308712474591477,7,6
Masala,12.23209758200791,6,10
Masala,11.921198100686906,8,3
Masala,14.28781168830642,6,9
Classic,13.796755128763065,7,10
Masala,11.594334091605694,9,2
Hot and Sweet Chilli,20.123097030160757,13,6
Sour Cream and Onion,26.01074166800233,15,7
Masala,11.964871126726456,9,9
Sour Cream and Onion,23.745528870201213,14,3
Masala,12.152646692311038,9,10
Masala,10.223892252523342,6,3
Classic,11.729387303689286,8,7
Classic,11.69884413575559,7,4
Barbecue,52.91644772572968,36,8
Sour Cream and Onion,20.0671039030406,13,7
Sour Cream and Onion,24.09628894895232,12,5
Masala,10.506299573075795,9,7
Masala,13.028896247263452,6,3
Sour Cream and Onion,28.41723361744676,15,2
Sour Cream and Onion,25.5968844483794,14,6
Tangy Tomato,43.34719466277256,26,2
Hot and Sweet Chilli,24.855896996593977,14,3
Hot and Sweet Chilli,25.319127065242633,15,6
Sour Cream and Onion,23.842067129858002,13,5
Hot and Sweet Chilli,22.0886407070574,13,8
Barbecue,47.75973519893739,33,9
Barbecue,47.90868535985829,30,3
Hot and Sweet Chilli,27.562136139501767,15,10
Sour Cream and Onion,22.892447719726544,15,3
Sour Cream and Onion,28.354802363823275,16,3
Masala,14.779594144776595,6,6
Barbecue,49.480128569663115,29,1
Classic,13.014714382397308,9,7
Sour Cream and Onion,25.453811212183027,15,1
Hot and Sweet Chilli,22.884054378187457,16,5
Barbecue,47.789637898048404,36,10
Hot and Sweet Chilli,29.70742153677248,16,8
Masala,12.707038036737925,6,4
Barbecue,49.55756896044485,37,5
Masala,12.70852406205002,7,4
Hot and Sweet Chilli,22.469074266675854,14,4
Tangy Tomato,47.12371294235189,26,8
Tangy Tomato,45.18669794634189,26,2
Classic,10.885854626359327,6,1
Classic,11.712239894173567,9,3
Hot and Sweet Chilli,22.35037214803825,14,9
Masala,12.78854413125022,7,4
Hot and Sweet Chilli,21.652420504426033,16,10
Classic,12.220218746011014,8,5
Sour Cream and Onion,28.16756930119528,15,2
Sour Cream and Onion,24.017788006543242,12,4
Sour Cream and Onion,27.34577923121413,12,2
Masala,13.1170297907972,6,2
Hot and Sweet Chilli,27.925213919629194,14,4
Masala,11.006560539112167,6,6
Classic,10.739920736829173,6,7
Hot and Sweet Chilli,24.755460374868267,14,10
Barbecue,58.13885617669668,39,3
Hot and Sweet Chilli,29.64028847165514,15,3
Masala,12.995602925201625,7,10
Masala,12.666933143826814,8,6
Sour Cream and Onion,20.379815632898534,17,3
Classic,13.952548971374425,8,2
Masala,10.28870525934587,9,8
Masala,11.378837841256784,6,5
Sour Cream and Onion,20.344612594250002,17,1
Masala,10.743979847025578,7,3
Sour Cream and Onion,25.129024161471975,15,10
Sour Cream and Onion,24.834074359731467,17,8
Masala,12.943657610656599,7,4
Masala,12.457090887642783,7,7
Tangy Tomato,44.06446182172174,32,10
Hot and Sweet Chilli,24.412237136553266,13,2
Hot and Sweet Chilli,25.11275462200751,12,7
Sour Cream and Onion,23.62268087098591,12,5
Barbecue,57.31154291249105,38,5
Tangy Tomato,49.119585515198736,35,6
Sour Cream and Onion,28.27518922106303,15,9
Hot and Sweet Chilli,28.06589342326277,13,6
Masala,11.002372577642014,6,8
Sour Cream and Onion,20.594715688672807,16,7
Classic,12.195749083168742,6,9
Hot and Sweet Chilli,22.984349123618767,13,4
Barbecue,46.23798160008561,26,2
Masala,12.24159527684711,6,7
Hot and Sweet Chilli,29.715330423905886,15,6
Masala,14.631913033650434,9,1
Hot and Sweet Chilli,27.625963946941752,17,9
Masala,13.438610212152803,7,9
Masala,14.36024169223504,6,2
Masala,10.672175647040609,7,3
Classic,13.222351385605169,9,5
Sour Cream and Onion,28.04437207679505,13,5
Classic,11.053524819336015,6,1
Tangy Tomato,55.86788028610695,27,8
Hot and Sweet Chilli,29.97820855681978,12,8
Masala,14.142346497245585,7,4
Barbecue,40.046350958096276,27,7
Masala,13.68934759280765,6,10
Tangy Tomato,52.65812661356868,39,3
Masala,10.714251436504194,9,6
Tangy Tomato,58.7418205691759,35,10
Masala,13.292702578350275,7,10
Barbecue,57.68848551003954,26,9
Classic,13.068020571187292,8,1
Tangy Tomato,47.98200376147446,26,5
Masala,10.388246673358026,9,4
Classic,13.437031820681188,8,8
Tangy Tomato,41.32019688280483,27,1
Classic,12.745651681385864,6,9
Classic,14.041176050046111,6,6
Classic,13.488781380367147,6,4
Hot and Sweet Chilli,29.551152072917013,14,9
Classic,14.344721261395726,6,5
Classic,10.384310376380817,7,5
Barbecue,56.84148874797158,35,5
Masala,13.53543238633349,9,1
Masala,10.725982564423301,7,1
Tangy Tomato,48.05746565265274,38,8
Barbecue,44.22224942332272,25,8
Hot and Sweet Chilli,22.810044989087135,16,6
Classic,10.761647947322677,7,4
Masala,14.530555010662486,6,2
Masala,12.916287462280579,7,2
Hot and Sweet Chilli,22.260289978159996,10,9
Hot and Sweet Chilli,22.192739619238758,15,5
Classic,13.017465480216893,6,4
Masala,12.080607140355461,6,10
Tangy Tomato,42.45841356930775,24,1
Tangy Tomato,54.39582906709372,38,7
Classic,12.269734240541785,9,3
Classic,13.123919313947013,9,6
Hot and Sweet Chilli,26.370908370809047,12,5
Sour Cream and Onion,22.419316803155297,15,5
Classic,11.173267208879247,6,5
Masala,14.019792537762601,6,1
Barbecue,51.26577861907629,27,1
Sour Cream and Onion,21.428759613394117,12,3
Barbecue,48.028912618263874,38,10
Sour Cream and Onion,22.842740929275166,13,4
Classic,14.118890450505827,7,5
Hot and Sweet Chilli,20.543320348229038,14,2
Barbecue,48.04893274867338,32,8
Barbecue,40.00269386008971,34,2
Masala,13.915083186583665,6,9
Masala,11.380847789104497,7,2
Hot and Sweet Chilli,28.957267259261727,12,9
Sour Cream and Onion,24.66967999963611,16,7
Tangy Tomato,44.93647738403804,32,8
Masala,10.413577307621768,8,2
Classic,10.509461940330068,6,7
Hot and Sweet Chilli,21.299299245357012,12,6
Tangy Tomato,56.8542380432111,36,4
Sour Cream and Onion,25.718091636071538,13,7
Sour Cream and Onion,28.91872144810735,15,4
Hot and Sweet Chilli,24.223845221843057,16,2
Hot and Sweet Chilli,23.77318053963193,14,10
Masala,13.37570030574834,6,7
Masala,13.435096332516213,6,8
