flavor,weight_g,chip_count
Hot and Sweet Chilli,27.37508359459007,13
Tangy Tomato,49.23893873341912,28
Sour Cream and Onion,23.497032297458496,13
Classic,13.306853055352072,8
Masala,11.774206801284452,7
Masala,10.491978248566987,6
Masala,14.152672282024199,9
Barbecue,45.30092856650008,29
Classic,10.413088317296344,9
Sour Cream and Onion,29.678600348450303,11
Masala,14.879954247993961,8
Tangy Tomato,44.113745243911104,25
Sour Cream and Onion,22.554134846852193,14
Masala,13.87316890318894,6
Masala,14.799132590379646,8
Masala,10.20975611715818,6
Hot and Sweet Chilli,23.222155034446285,14
Classic,11.464110183504824,8
Hot and Sweet Chilli,21.139566347143173,16
Masala,12.912113291036231,7
Classic,12.603840709171063,9
Masala,13.282393036657513,7
Masala,10.218678129399848,6
Hot and Sweet Chilli,29.280836403260498,11
Hot and Sweet Chilli,23.721670238375133,13
Sour Cream and Onion,25.50091940458156,13
Masala,13.064697912472628,7
Classic,11.368956537570533,9
Classic,10.607506881504591,9
Masala,12.480239193399433,6
Classic,13.229054063276031,8
Masala,13.357274674473217,7
Masala,14.30684998181718,6
Barbecue,45.16863240583636,38
Tangy Tomato,45.044820403467234,36
Sour Cream and Onion,22.210633714537284,16
Hot and Sweet Chilli,28.419985528900614,17
Masala,13.882237232498623,9
Classic,10.26929103499013,9
Hot and Sweet Chilli,25.450269188969383,13
Masala,11.346656491510124,9
Hot and Sweet Chilli,20.431737357970118,13
Masala,10.53971857323232,6
Barbecue,54.51959819970591,35
Masala,14.825648710634983,9
Classic,12.529263464759145,9
Hot and Sweet Chilli,23.423836360335464,17
Classic,12.711186027459242,6
Classic,13.717118930383046,8
Masala,11.487742256594103,8
Tangy Tomato,43.03138743175347,37
Sour Cream and Onion,28.733229158608076,12
Barbecue,55.22243074086316,38
Barbecue,43.21696347915493,34
Classic,10.046658099135467,6
Barbecue,54.8342412302586,26
Masala,14.959049756746818,9
Masala,10.969769336338874,7
Masala,14.000354843495797,8
Hot and Sweet Chilli,23.10928930007554,16
Hot and Sweet Chilli,27.330712960296747,13
Masala,10.94012367307708,6
Sour Cream and Onion,23.752599044426663,12
Hot and Sweet Chilli,25.542265141320165,16
Masala,14.24023895565386,6
Classic,10.176556774701195,6
Masala,10.055158071312329,6
Sour Cream and Onion,29.580734801193802,12
Masala,13.39189411427571,9
Tangy Tomato,42.97776100664889,31
Sour Cream and Onion,24.703190541017857,13
Masala,14.981671688136236,8
Masala,11.926879415236808,9
Sour Cream and Onion,27.220709382027373,17
Sour Cream and Onion,25.930443341867843,16
Sour Cream and Onion,26.63042004500492,16
Sour Cream and Onion,26.95618146496807,16
Masala,10.145356901719769,6
Hot and Sweet Chilli,23.554930104413575,11
Masala,11.938367973751971,6
Barbecue,51.76404533896781,28
Classic,12.550548562494125,8
Hot and Sweet Chilli,20.648535944829682,13
Masala,12.807422939797618,9
Hot and Sweet Chilli,20.52803960468528,13
Hot and Sweet Chilli,25.99368965662934,14
Sour Cream and Onion,22.698207201282145,13
Classic,11.610540021145928,7
Barbecue,41.541165582686624,30
Hot and Sweet Chilli,26.95415648328053,14
Masala,13.924484885557337,7
Sour Cream and Onion,22.098419948564093,14
Sour Cream and Onion,25.172690564416094,16
Classic,10.73726263353142,8
Sour Cream and Onion,27.355056064875377,11
Hot and Sweet Chilli,20.886004296796173,14
Classic,10.312711134486841,8
Hot and Sweet Chilli,27.356631142391898,13
Masala,13.668079150211563,7
Masala,13.212825997675957,6
Masala,13.187766322351148,8
Classic,13.92825809040116,8
Hot and Sweet Chilli,26.859112710498636,17
Classic,13.736097938710188,7
Barbecue,51.43744542454373,29
Masala,10.922381265668196,6
Hot and Sweet Chilli,29.796467150338835,14
Sour Cream and Onion,20.26196708532065,12
Masala,12.92905072985951,6
Masala,11.365354049864063,6
Masala,14.648084614378421,7
Masala,14.703396225576704,6
Barbecue,57.05456039751422,33
Sour Cream and Onion,28.72730250484602,15
Classic,12.308664068061912,8
Barbecue,56.052866195914206,33
Sour Cream and Onion,29.373532942158644,14
Masala,10.66739986207972,8
Barbecue,40.99684055565883,30
Classic,12.482305761776498,6
Sour Cream and Onion,27.802130634301022,14
Barbecue,55.3102579798222,30
Hot and Sweet Chilli,22.2522370226849,15
Masala,10.676770411388429,7
Masala,14.613115290438948,6
Hot and Sweet Chilli,29.56614621083458,16
Sour Cream and Onion,22.82745689578762,12
Barbecue,45.643741493864,35
Masala,11.378599265477762,7
Classic,14.531272902605183,8
Hot and Sweet Chilli,29.74834652781112,16
Masala,12.144434394305193,6
Masala,13.883552784775906,9
Hot and Sweet Chilli,21.56381804403448,14
Barbecue,40.672272003665654,27
Hot and Sweet Chilli,26.196994401994157,13
Classic,10.696226855587977,8
Sour Cream and Onion,23.15189521097359,13
Hot and Sweet Chilli,23.473433262588426,13
Tangy Tomato,54.64897463676179,34
Tangy Tomato,59.26788868427101,38
Masala,14.4106780714103,6
Hot and Sweet Chilli,20.522578792860237,15
Hot and Sweet Chilli,27.877130155277086,18
Masala,13.654104824903648,7
Masala,14.897754201908786,6
Classic,13.270873007370373,6
Classic,10.955953507323946,6
Masala,12.319662433441682,6
Masala,14.735179938693616,8
Barbecue,46.99012744173638,33
Masala,10.110175801487522,6
Masala,11.126584649756175,6
Hot and Sweet Chilli,20.888402450875645,16
Tangy Tomato,51.2244557656505,25
Masala,14.902584110005531,6
Classic,14.300698466747175,7
Sour Cream and Onion,25.42545803395423,17
Masala,12.744193283600293,7
Sour Cream and Onion,20.817253457467782,17
Hot and Sweet Chilli,28.4691872808856,13
Classic,10.82887270081638,6
Classic,13.320939572527086,6
Classic,13.345111686645541,7
Masala,14.309934542021361,7
Sour Cream and Onion,26.50973467150954,16
Hot and Sweet Chilli,22.905875598063552,16
Masala,14.032018086164197,7
Masala,14.890309089867642,8
Classic,13.931390996920165,8
Classic,11.698887357809426,6
Masala,10.82353176716148,7
Classic,13.792125089345555,8
Masala,12.596929297519686,8
Classic,10.631268913963067,8
Masala,14.397909274757646,8
Classic,11.277466723278023,6
Hot and Sweet Chilli,24.51239344180988,12
Barbecue,55.01459013998694,25
Masala,10.135837106127799,6
Hot and Sweet Chilli,20.94151910125698,15
Masala,14.5461010293078,6
Barbecue,47.81456731227227,27
Barbecue,42.10947399913261,27
Masala,12.258484096158414,8
Classic,11.902100037537812,7
Sour Cream and Onion,24.410721582507836,14
Classic,11.018832295638445,6
Classic,10.470180522171331,8
Masala,13.964272095169196,8
Masala,11.38220845291698,8
Barbecue,55.95828319231788,38
Barbecue,43.916816251738375,37
Classic,12.6651443362307,7
Hot and Sweet Chilli,24.47602940320217,16
Hot and Sweet Chilli,27.932613504382545,14
Sour Cream and Onion,23.631007366340103,14
Barbecue,45.53808974755618,31
Barbecue,50.14102207730882,35
Sour Cream and Onion,22.0201566840249,15
Classic,13.663176173504164,9
Masala,10.760521416111365,9
Masala,13.992966361913757,6
Barbecue,41.66928169978767,33
